year,access_to_electricity_rural_percent_of_rural_population,agricultural_irrigated_land_percent_of_total_agricultural_land,agricultural_land_percent_of_land_area,agricultural_land_sq_km,agricultural_raw_materials_exports_percent_of_merchandise_exports,agricultural_raw_materials_imports_percent_of_merchandise_imports,agriculture_forestry_and_fishing_value_added_percent_of_gdp,agriculture_forestry_and_fishing_value_added_current_us,annual_freshwater_withdrawals_agriculture_percent_of_total_freshwater_withdrawal,arable_land_percent_of_land_area,arable_land_hectares_per_person,arable_land_hectares,average_precipitation_in_depth_mm_per_year,cereal_production_metric_tons,cereal_yield_kg_per_hectare,crop_production_index_2014_2016_100,employment_in_agriculture_percent_of_total_employment_modeled_ilo_estimate,employment_in_agriculture_female_percent_of_female_employment_modeled_ilo_estimate,employment_in_agriculture_male_percent_of_male_employment_modeled_ilo_estimate,fertilizer_consumption_percent_of_fertilizer_production,fertilizer_consumption_kilograms_per_hectare_of_arable_land,food_production_index_2014_2016_100,forest_area_percent_of_land_area,forest_area_sq_km,land_area_sq_km,land_under_cereal_production_hectares,livestock_production_index_2014_2016_100,permanent_cropland_percent_of_land_area,rural_land_area_sq_km,rural_land_area_where_elevation_is_below_5_meters_percent_of_total_land_area,rural_land_area_where_elevation_is_below_5_meters_sq_km,rural_population,rural_population_percent_of_total_population,rural_population_growth_annual_percent,rural_population_living_in_areas_where_elevation_is_below_5_meters_percent_of_total_population,surface_area_sq_km,n_disaster_events,n_drought_events,n_flood_events,n_storm_events,total_deaths,total_affected,total_damage_adj_000us,insured_damage_adj_000us,reconstruction_costs_adj_000us,storm_magnitude_mean,flood_magnitude_mean,drought_magnitude_mean,average_mean_surface_air_temperature_annual_mean_c,x5_year_smooth_gaussian_smooth,days_precip_over_20mm,agri_orientation_index,official_flows_agri_usd_m,cereal_yield_resid_d,any_insured_damage_reported.x,any_insured_damage_reported.y
1967,NA,NA,27.844833366861128,83050,28.966250744592443,3.8730982154239193,24.43063987378262,1887236131.794872,NA,15.959230201837324,0.13748753658150528,4760000,2348,6179853,1113.1,30.59,NA,NA,NA,180.80832823025108,24.811764705882357,26.92,NA,NA,298260,5551900,17.04,9.052504526252262,NA,NA,NA,23784117,68.6978921666245,2.7103918825329125,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,25.57,14.65,NA,NA,107.5767265105156,NA,NA
1968,NA,NA,27.76436665996111,82810,28.471749017277546,5.299163809680104,26.128386457349677,2255598091.025641,NA,15.8586468182123,0.13272222372185552,4730000,2348,6177456,1105.4,30.48,NA,NA,NA,181.87427312236028,31.408879492600423,27.12,NA,NA,298260,5588250,18.23,9.052504526252262,NA,NA,NA,24422320,68.52821551357451,2.647946330780135,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,25.6,13.9,NA,NA,48.623054275492265,NA,NA
1969,NA,NA,27.670488835244416,82530,30.15420262346493,4.567297844787132,26.790857444417863,2564367467.692308,NA,15.758063434587273,0.12820233405169373,4700000,2348,7472275,1330.7,32.05,NA,NA,NA,219.73198931418253,43.2259574468085,28.56,NA,NA,298260,5615430,18.99,9.052504526252262,NA,NA,NA,25054887,68.3424470937717,2.5571430058729367,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.81,25.63,18.11,NA,NA,222.66938204046846,NA,NA
1970,NA,NA,27.86159726413197,83100,25.7827401755309,4.976390813090486,26.358878265916875,1992498057.0257523,NA,15.657480050962247,0.12412882562648377,4670000,2348,7595768,1350.3,34.07,NA,NA,NA,226.73955926280783,43.07323340471092,29.76,NA,NA,298260,5625250,18.07,9.387782471669011,NA,NA,NA,25633989,68.1352654162651,2.2850267866273293,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93,25.65,23.44,NA,NA,191.01570980544486,NA,NA
1971,NA,NA,27.75766110105277,82790,21.992505184723623,5.155980731185501,27.052896068986318,2265700505.8376403,NA,15.570307785153892,0.12056494490111924,4644000,2348,7374862,1272.2,35.33,NA,NA,NA,208.2751744765703,44.98277347114556,30.95,NA,NA,298260,5796990,18.54,9.387782471669011,NA,NA,NA,26162163,67.92075318635389,2.0395040467183527,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,25.67,24.79,NA,NA,61.662037570421354,NA,NA
1972,NA,NA,28.263930798632064,84300,18.98889475302039,4.774564832422444,26.217450685086707,2377350062.5183334,NA,15.758063434587273,0.1192634290621124,4700000,2348,6459350,1163.9,34.86,NA,NA,NA,198.76543209876544,41.1063829787234,30.6,NA,NA,298260,5549730,18.68,9.723060417085764,NA,NA,NA,26684603,67.7127083560085,1.9772525746219325,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.58,25.68,23.57,NA,NA,-97.89163466460222,NA,NA
1973,NA,NA,28.823391342252624,85960,20.648990695216376,5.0016540408420624,27.199117849437915,3104085653.0136466,NA,15.92730442946719,0.11788317553946444,4750000,2348,7421393,1186,35.89,NA,NA,NA,273.46392646732176,54.42968421052632,32.11,NA,NA,298230,6257620,21.81,10.05935016597928,NA,NA,NA,27202344,67.5094472433926,1.9216413656196183,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.88,25.69,21.68,NA,NA,-127.04530689962594,NA,NA
1974,NA,NA,29.71930648244408,88620,11.536648613172217,4.1193177125417915,27.630003113389076,4312458435.961181,NA,16.097119286361046,0.1165774577910063,4800000,2348,8146691,1224.7,38.36,NA,NA,NA,298.4450374090933,59.41854166666667,35.38,NA,NA,298190,6651940,27.21,10.73141285757403,NA,NA,NA,27714514,67.3101575716467,1.8653101027931007,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.66,25.69,26.82,NA,NA,-139.5989791346495,NA,NA
1975,NA,NA,30.828051111781868,91920,9.981276325519325,3.0802865120237928,26.94469022238486,4546981326.453179,NA,16.26588858704766,0.11514494041498616,4850000,2348,8839298,1286.3,44.11,NA,NA,NA,243.19399785637728,46.783505154639165,38.54,NA,NA,298170,6871710,22.6,11.738270114364289,NA,NA,NA,28268983,67.1140270639115,1.9808949439602763,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.65,25.7,24.85,NA,NA,-129.25265136967315,NA,NA
1976,NA,NA,32.44457859610289,96740,9.547241158917972,3.192111010351991,25.916562325060006,5022903249.45721,NA,16.7689573062347,0.11573675425253872,5000000,2348,9327624,1353.8,48.01,NA,NA,NA,338.4130982367758,53.74,41.29,NA,NA,298170,6890000,21.98,12.409028406613675,NA,NA,NA,28910541,66.92024344332751,2.244107257408044,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.48,25.71,25.39,NA,NA,-113.00632360469676,NA,NA
1977,NA,NA,33.83975584398162,100900,7.5540480310105345,3.4532492280563307,25.3814929310542,5655785939.556858,NA,17.10433645235939,0.11494780851101524,5100000,2348,10083284,1488.1,49.07,NA,NA,NA,388.0127451126364,51.09823529411765,42.42,NA,NA,298170,6775860,23.2,13.415165844987758,NA,NA,NA,29605851,66.72799443303529,2.3765741613831763,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.84,25.72,26.67,NA,NA,-29.95999583972041,NA,NA
1978,NA,NA,34.00744541704397,101400,8.021662331152719,3.090146779553604,24.911057741284335,6417642636.236488,NA,17.272026025421738,0.11299985182757294,5150000,2348,10313167,1509.9,50.47,NA,NA,NA,380.86814166860097,60.53436893203884,43.9,NA,NA,298170,6830430,24.59,13.415165844987758,NA,NA,NA,30324182,66.5364677561755,2.3973469307761635,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.82,25.75,30.4,NA,NA,-59.41366807474385,NA,NA
1979,NA,NA,34.85930844820069,103940,8.976519831805275,2.7853349825092515,24.18173258115212,7549124925.754483,NA,17.43971559848409,0.11109424994749194,5200000,2348,10834585,1581.3,51.65,NA,NA,NA,460.699865410498,65.82692307692308,45.39,NA,NA,298170,6851880,27.04,14.085924137237146,NA,NA,NA,31054103,66.3448511358888,2.3785461333697278,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.92,25.78,26.51,NA,NA,-39.267340309767604,NA,NA
1980,NA,NA,35.634034275748725,106250,6.076907436987591,2.1499291224012334,22.03158340696768,8118215677.088512,NA,17.533621759399,0.10881750671367384,5228000,2348,10775175,1606.4,53.29,NA,NA,NA,470.4225352112676,63.8867635807192,47.16,NA,NA,298170,6707820,29.05,14.756682429486537,NA,NA,NA,31782055,66.1523322953156,2.3170880971780425,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.01,25.82,27.12,NA,NA,-65.42101254479104,NA,NA
1981,NA,NA,35.784954891504846,106700,4.751674436265196,2.1856572902123723,21.808062181901494,8832131907.869335,NA,17.506791427709025,0.10585717267618716,5220000,2348,11215910,1646.6,54.73,NA,NA,NA,403.4703023417282,61.227777777777774,48.12,NA,NA,298170,6811530,29.16,14.756682429486537,NA,NA,NA,32525078,65.95809895759669,2.3109600222712365,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.68,25.87,27.05,NA,NA,-76.4746847798148,NA,NA
1982,NA,NA,36.01972029379213,107400,6.115467951742798,2.272354375611143,20.42304852924631,8619754164.98829,NA,17.573867256933966,0.10336180931454413,5240000,2348,11670615,1822.6,57.19,NA,NA,NA,950.2337091009072,65.95419847328245,49.65,NA,NA,298170,6403110,28.04,14.756682429486537,NA,NA,NA,33338176,65.7613388458725,2.469174421690582,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.79,25.93,22.88,NA,NA,48.2716429851616,NA,NA
1983,NA,NA,36.153871952242014,107800,5.864982208326425,2.150736954697448,19.5239809608368,7372095093.576125,NA,17.640943086158902,0.10077667008592071,5260000,2348,10647242,1659.9,52.07,NA,NA,NA,760.8737518578217,69.10209125475285,46.23,NA,NA,298170,6414370,29.63,14.756682429486537,NA,NA,NA,34219440,65.5612396832838,2.6090736863273287,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.14,25.98,20.18,NA,NA,-165.68202924986184,NA,NA
1984,NA,NA,36.28802361069189,108200,5.367359279050642,2.026258794290466,21.68529695417232,7748196856.906534,NA,17.708018915383843,0.09827610862569965,5280000,2348,11269139,1747.3,53,NA,NA,NA,886.056484304332,50.0907196969697,46.94,NA,NA,298170,6449370,30.03,14.756682429486537,NA,NA,NA,35113814,65.356989192971,2.5800710669326965,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.92,26.04,28.5,NA,NA,-129.53570148488555,NA,NA
1985,NA,NA,36.58986484220412,109100,4.9105520428036336,2.225109976803533,21.594465023440318,7549745941.145166,NA,17.942784317671126,0.0968974592689266,5350000,2348,12727856,1841,55.21,NA,NA,NA,142.9175273313517,53.02373831775701,47.62,NA,NA,298170,6913710,25.54,14.756682429486537,NA,NA,NA,35970045,65.1477750980748,2.4091894448820614,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.03,26.09,26.55,NA,NA,-87.08937371990912,NA,NA
1986,NA,NA,36.8246302444914,109800,4.801960479136308,2.965868632192835,21.029383908653312,7147300301.883433,NA,18.110473890733477,0.09533043798316312,5400000,2348,13337939,1914.7,58.99,NA,NA,NA,103.67021276595744,72.18518518518519,51.05,NA,NA,298170,6966010,27.84,14.756682429486537,NA,NA,NA,36781226,64.9327851217358,2.2301043204679587,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.89,26.13,27.57,NA,NA,-64.64304595493267,NA,NA
1987,NA,NA,36.95878190294128,110200,4.85978150535966,2.9102788781603195,21.07943535604148,7966232423.450875,NA,18.177549719958414,0.09319520909222088,5420000,2348,12818171,1847.3,57.4,NA,NA,NA,152.84464583530004,89.61715867158672,50.31,NA,NA,298170,6938690,29.82,14.756682429486537,NA,NA,NA,37634418,64.7112069870946,2.2931452084538453,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.43,26.15,18.72,NA,NA,-183.29671818995638,NA,NA
1988,NA,NA,37.09293356139114,110600,NA,NA,20.11045450101597,8678089260.44132,NA,18.24462554918335,0.09106271053648456,5440000,2348,13399121,1877.2,56.85,NA,NA,NA,154.60443450146334,92.73566176470588,50.64,NA,NA,298170,7137905,32.5,14.756682429486537,NA,NA,NA,38521072,64.48222841729171,2.3286412203040103,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.37,26.15,27.98,NA,NA,-204.6503904249799,NA,NA
1989,NA,NA,37.22708521984103,111000,NA,NA,19.86511010633211,9637314566.348509,NA,18.311701378408287,0.08912065336864643,5460000,2348,13981140,1945.4,58.76,NA,NA,NA,167.85070768882446,97.76135531135533,53.22,NA,NA,298170,7186639,36.65,14.756682429486537,NA,NA,NA,39359889,64.2450371354678,2.154183581658123,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.95,26.15,24.68,NA,NA,-187.70406266000344,NA,NA
1990,NA,NA,37.36123687829091,111400,NA,NA,19.15984288797233,9677308365.932417,NA,18.378777207633227,0.08718525367710966,5480000,2348,14987250,2099.5,65.27,NA,NA,NA,170.3196982883667,107.13357664233575,58,26.08850655666231,77788.1,298170,7138449,36.01,14.756682429486537,286501.08497548,4.27184744162947,12570.8102114,40226245,63.9988208647634,2.1772391242533526,5.77252195933699,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.17,26.13,25.03,NA,NA,-84.85773489502714,NA,NA
1991,NA,NA,37.418251333132105,111570,1.605229249763911,2.519643706675362,18.338461465945183,9496415465.791183,NA,18.40225374786196,0.08522535458492604,5487000,2348,14332247.29,2042.3,64.39,44.0794150779753,30.4784188407023,52.8220609700383,130.6734753428655,81.614361217423,57.99,25.93102927859946,77318.55,298170,7017668,40.57,14.756682429486537,NA,NA,NA,41039027,63.742767328319196,2.000384870380473,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.17,26.12,19.26,NA,NA,-193.31140713005078,NA,NA
1992,NA,NA,37.27739209175974,111150,1.4949566285106,2.433425670386689,19.107321728429348,11545088653.041027,NA,18.22785659187712,0.08244076229264195,5435000,2348,13750626.86,2105.2,64.4,44.2872368967329,31.932736373914896,52.229792754892095,155.2688172043011,92.9898804047838,57.89,25.773552000536608,76849,298170,6531837,41.22,14.756682429486537,NA,NA,NA,41847309,63.476064249275694,1.9504001788349508,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.04,26.12,19.47,NA,NA,-181.66507936507455,NA,NA
1993,49.3467057912156,NA,37.109702518697375,110650,1.4392656097719505,2.267089599086035,18.907953498330265,11729838083.127476,NA,18.06016701881477,0.07974160344238505,5385000,2348,14235789.18,2212.5,65.72,44.5995514403218,32.7945289827532,52.1838864172343,165.1065693430657,105.01207056638812,59.84,25.61607472247375,76379.44999999998,298170,6434213,44.17,14.756682429486537,NA,NA,NA,42677934,63.197899350773604,1.9654524721204236,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.15,26.14,24.34,NA,NA,-125.61875160009795,NA,NA
1994,51.1707123816351,NA,36.94201294563504,110150,1.2141359237573854,2.199677150833,19.26003585389008,14090514520.34959,NA,17.892477445752423,0.07729722984259574,5335000,2348,15062259.56,2261,68.19,43.4712084820796,30.7650179428515,51.6392694358094,160.5129370863141,112.50196813495782,62.38,25.458597444410906,75909.89999999998,298170,6661655,45.36,14.756682429486537,NA,NA,NA,43418283,62.9074603559533,1.7198601165299618,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.26,26.16,22.75,NA,NA,-128.3724238351216,NA,NA
1995,52.9143161486911,NA,36.94201294563504,110150,1.2690755068807786,2.160072020877439,18.92514587843359,16019062689.496927,NA,17.724787872690076,0.07491539663216097,5285000,2348,14673161.82,2273.4,67.13,42.842238521994,31.1403030066786,50.3671744608256,124.7338701440551,113.22743614001892,62.1,25.301120166348056,75440.35,298170,6454283,47.56,14.756682429486537,NA,NA,NA,44164726,62.6039349879556,1.7045796490835798,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.13,26.19,30.37,NA,NA,-167.22609607014505,NA,NA
1996,54.659712107738095,NA,37.24385417714727,111050,1.184546357058055,2.130899802092015,18.01364540307344,17049570309.847763,NA,17.55709829962773,0.07251672601402279,5235000,2348,15439998.41,2307.5,72.19,40.4064446113874,30.242080340888,46.9317332767236,139.27876736022503,140.74498567335243,66.91,25.143642888285207,74970.8,298170,6691299,51.48,15.092061575611227,NA,NA,NA,44964783,62.286510969921,1.7953167208922691,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26.22,28.49,NA,NA,-184.37976830516877,NA,NA
1997,56.4083199093136,NA,38.01522621323406,113350,0.9610053297482714,1.6153538242892476,16.449102067055602,15479644227.828236,NA,17.389408726565385,0.07015401817455862,5185000,2348,15604612.06,2374.7,71.34,39.0398024026704,28.2094789996849,45.9819140222934,188.13413125761423,156.0646094503375,67.03,24.986165610222358,74501.25,298170,6571201,54.79,15.762819867860618,NA,NA,NA,45789742,61.9543760249902,1.81805088560608,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.12,26.25,20.14,NA,NA,-168.43344054019246,NA,NA
1998,54.2250582751455,NA,37.84753664017171,112850,0.5631132143752634,1.3441351576499172,14.746673312959889,10985153279.102438,NA,17.221719153503035,0.06775208631565659,5135000,2348,12385313.93,2240.9,63.4,37.306159386228096,26.0488749745065,44.5084209821211,166.58157788009638,122.38247322297956,61.6,24.828688332159505,74031.69999999998,298170,5526969,57.11,15.762819867860618,NA,NA,NA,46692362,61.6067178763036,1.9520504459348869,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.76,26.28,22.31,NA,NA,-353.4871127752158,NA,NA
1999,56.1771339939245,NA,37.67984706710937,112350,0.5217745767457028,1.622629951403184,15.194355418261882,13012471969.403755,NA,17.054029580440687,0.06539918964423576,5085000,2348,16372330.55,2464.8,70.42,37.526862391756,26.8029433523735,44.3661131796555,198.44184396027768,146.266273352999,67.82,24.67121105409665,73562.14999999998,298170,6642553,60.06,15.762819867860618,NA,NA,NA,47618213,61.242724247002,1.963471741062996,NA,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.16,26.29,36.44,NA,NA,-180.84078501023936,NA,NA
2000,61.8,NA,37.67649327564812,112340,0.5556335182016113,1.3659021381620111,13.941095211674694,11664484861.033323,NA,16.882986215917096,0.06322103486655144,5034000,2348,16901159.42,2580.8,72.37999999999998,35.7809092921966,23.6703233766558,43.4888688302479,230.66270583949856,145.91775923718714,70.04,24.51373377603381,73092.6,298170,6548909,62.83,15.762819867860618,284863.2827639,4.22921942776347,12445.3683085,48461277,60.8615828602258,1.754975256627767,5.46857869539386,300000,6,0,0,6,394,6187431,156043,2804,0,156,NA,NA,26.31,26.3,33.82,NA,371.336657,-116.09445724526297,TRUE,TRUE
2001,63.4,NA,37.508803702585766,111840,0.5189717001706164,1.186752388720009,13.302809302832047,10498741319.328686,NA,16.715296642854746,0.06122738198594109,4984000,2348,17480298.91,2667.8,74.84999999999998,35.5579854747277,23.5392764973286,43.1965275073013,217.43419221993432,156.7847110754414,72.73999999999998,24.356259851762417,72623.06,298170,6552289,66.64,15.762819867860618,NA,NA,NA,49217360,60.4624814391157,1.5481340119981428,NA,300000,6,0,0,6,587,3450437,180113,0,0,133.33333333333334,NA,NA,26.33,26.29,28.1,0.33,312.783635,-80.34812948028653,FALSE,FALSE
2002,65,NA,37.34446792098468,111350,0.48472302256118216,0.9915092995744856,13.448413414570409,11338000413.808603,NA,16.550960861253646,0.05940852296700393,4935000,2348,17590069.12,2730.6,76.84999999999998,35.3527859264748,23.3970339752868,42.9496358272219,171.2702710107423,139.3404255319149,74.97,24.19878592749103,72153.52,298170,6441894,69.39,15.762819867860618,NA,NA,NA,49878389,60.0446077068123,1.3341415984852647,NA,300000,7,1,0,6,215,982194,25035,0,0,165,NA,178,26.21,26.28,21.14,0.27,84.632252,-68.80180171531042,FALSE,FALSE
2003,63.5,NA,37.6966160244156,112400,0.5592131520800746,0.950505456538022,13.150947662883636,11446465563.289251,NA,16.66834356239729,0.0586556398784471,4970000,2348,18115689.95,2823.4,79.44,34.843476707592004,23.0129501204656,42.3558434008258,257.5736980451669,166.9963782696177,77.33,24.04131200321964,71683.98,298170,6416363,71.13,15.9975852701479,NA,NA,NA,50506231,59.6071493864562,1.2508892032258352,NA,300000,8,0,0,8,95,466261,61781,0,0,170,NA,NA,26.08,26.26,24.54,0.3,93.068621,-27.25547395033386,FALSE,FALSE
2004,84.5,NA,38.4679880605024,114700,0.5824144277149629,0.916895010752509,13.984403691720148,13285463151.203451,NA,17.17141228158433,0.05926302904638471,5120000,2348,19910353,2992.3,82.15,34.2945754969959,22.4827070663546,41.6361956856571,323.47743883822983,171.7595703125,79.54,23.883838078948248,71214.44,298170,6653886,72.25,16.26588858704766,NA,NA,NA,51101739,59.1492942011879,1.1721813133276926,NA,300000,8,0,0,8,1861,3241278,236691,0,0,236.25,NA,NA,26.21,26.23,22.66,0.23,76.533669,90.39085381464261,FALSE,FALSE
2005,69.9,NA,38.082302042459,113550,0.5444502226487317,0.8663964425952134,13.517547003593007,14520545925.232,NA,16.785726263540933,0.056864685521473925,5005000,2348,19856348,3049,83.65999999999998,33.7683832308762,22.2220012557881,41.1113336724909,288.09691915068873,156.53246753246754,81.04999999999998,23.726364154676855,70744.9,298170,6512315,73.59999999999998,16.26588858704766,NA,NA,NA,51639167,58.6702298741481,1.046190700030174,NA,300000,2,0,0,2,34,20011,3297,0,0,107.5,NA,NA,26.28,26.2,26.67,0.31,96.39728,95.8371815796188,FALSE,FALSE
2006,70,8.33333333333333,38.83690512123956,115800,0.5085126161385704,0.7857307195563521,13.361249106967538,17056025484.371572,83.13475968,17.28879498272797,0.05759198299933818,5155000,2348,21408902.02,3180.8,86.14,33.214053331133,21.8730948417668,40.5241556585268,291.7851637802912,143.57924345295828,84.09,23.568890230405472,70275.36,298170,6730683,78.29,16.517422946641176,NA,NA,NA,52066611,58.1691441284774,0.824344465271584,NA,300000,10,0,0,10,1805,7821808,528483,0,0,167.14285714285714,NA,NA,26.32,26.17,27.54,0.28,91.434765,176.38350934459535,FALSE,FALSE
2007,73.09999999999998,8.227311280746395,39.541201328101415,117900,0.5054917414482387,0.7468322926942597,13.606507617711006,21223486188.28336,82.44576420999998,17.74155682999631,0.0580838793583991,5290000,2348,22977304,3319.8,90.94,32.5664143564638,21.4142034740917,39.7959492816939,332.58613204941,159.30812854442345,89.06,23.41141630613409,69805.82,298170,6921286,83.98,16.7689573062347,NA,NA,NA,52507530,57.6529500040503,0.8432708289333615,NA,300000,9,1,0,8,78,1909794,15458,0,0,149.5,NA,NA,26.33,26.16,28.6,0.38,98.466296,264.1298371095719,FALSE,FALSE
2008,74.59999999999998,9.067443796835969,40.279035449575744,120100,0.6341641170209241,0.7174263354831859,14.51607475731336,26364766535.370754,81.47753034,18.27816346379582,0.058792375481119846,5450000,2348,23744012,3334.3,95.37,32.366229095968,21.2155497242974,39.5027746671103,755.7403468910583,104.97302752293578,92.86000000000001,23.253942381862696,69336.28,298170,7121079,85.69,16.970184793909514,NA,NA,NA,52695033,56.8452507592984,0.3564612746965713,NA,300000,11,0,0,11,819,6851979,660364,67289,0,147.5,NA,NA,26.04,26.15,34.44,0.49,132.629605,227.37616487454812,TRUE,TRUE
2009,76.09999999999998,9.396694214876032,40.580876681087965,121000,0.6000518821437042,0.68376233686868515,14.540213315315246,25587104886.256805,82.23494648,18.445853036858168,0.05827243422498987,5500000,2348,23300701,3228.9,94.51,32.3774027495332,21.37754780098,39.551982416442,1197.1484900080652,121.44527272727272,92.59,23.09646845759131,68866.74,298170,7216272,86.97,17.10433645235939,NA,NA,NA,52538354,55.6643227390473,-0.29777453760427625,NA,300000,14,0,0,14,1242,12221663,1399654,0,0,131,NA,NA,26.07,26.17,33.2,0.39,94.489117,70.72249263952452,FALSE,FALSE
2010,78.5,9.107438016528926,40.580876681087965,121000,0.7025093652788136,0.6379896225197493,13.748865052421728,28648357930.575584,81.51501686999998,17.77509474460878,0.055015135649937645,5300000,2348,22149369,3231.9,92.49,31.532075675082705,20.8204966553823,38.5809314239768,7391.177824845749,151.43547169811322,91.51,22.93899453331992,68397.2,298170,6853269,88.98999999999998,17.77509474460878,NA,NA,NA,52483678,54.479182327335295,-0.10412292334962092,NA,300000,3,0,0,3,212,2595545,419925,0,0,158.33333333333334,NA,NA,26.26,26.2,26.08,0.43,130.599429,22.468820404500995,FALSE,FALSE
2011,81.2,9.265905383360522,41.11748331488748,122600,1.0467054686992747,0.7259147086160161,14.095735151082303,33014569981.389248,80.77659739,18.27816346379582,0.0554715204430263,5450000,2348,23655648,3340.6,96.89,31.279108429942,20.7098229392843,38.2634149414439,377.1636314994936,144.8612844036697,95.14,23.055994902236975,68746.06,298170,7081336,90.64,17.80863265922125,NA,NA,NA,52382857,53.316636753524094,-0.19228447104513183,NA,300000,12,0,0,12,1782,9468676,754607,0,0,142.5,NA,NA,26.02,26.24,41.2,0.25,101.214403,79.91514816947708,FALSE,FALSE
2012,80.7,NA,41.687627863299454,124300,0.8408725079258285,0.6446365200234757,13.095807010678156,34300608565.79024,80.60725476999998,18.714156353757925,0.05570223589174168,5580000,2348,25440477.82,3492.6,100.4,30.8297371328032,20.3856587522956,37.6999963413938,228.19469112169236,118.35125448028674,98.47000000000001,23.17299527115404,69094.92,298170,7284199,93.45,17.942784317671126,NA,NA,NA,52173131,52.0817215189574,-0.4011750743151325,NA,300000,9,0,0,9,2039,7560480,1287438,0,0,173,NA,NA,26.36,26.28,33.61,0.37,125.977138,180.66147593445353,FALSE,FALSE
2013,81.9,NA,41.81842573028809,124690,0.9872276113534892,0.6607777695483904,12.473425104412527,35412406693.32238,80.42914491,18.747694268370392,0.05476293741577872,5590000,2348,25817440.51,3531.8,99.79,29.7178644007855,19.548780785211495,36.408829290721,647.3991574473775,155.87495527728086,98.7,23.2899956400711,69443.78,298170,7309980,96.2,18.04004427004729,NA,NA,NA,51924835,50.8686311233794,-0.4770438470896125,NA,300000,8,0,0,8,7415,17944571,14008568,967389,0,315,NA,NA,26.36,26.33,36.85,0.38,139.099701,168.60780369943012,TRUE,TRUE
2014,84.59999999999998,NA,41.91568568266425,124980,1.035727613898205,0.6277144336526154,12.271681621144587,36506234786.34628,81.2222888,18.747694268370392,0.053870623578005865,5590000,2348,26739121.85,3637.4,102.04,29.079718142995105,19.607412191489505,35.3757478407281,646.5567937898792,157.34347048300538,100.59,23.40699600898816,69792.64,298170,7351234,97.2,18.13730422242345,NA,NA,NA,51635312,49.7607599787632,-0.5591412578836696,NA,300000,9,0,0,9,326,13068983,1445460,0,0,157,NA,NA,26.23,26.37,34.14,0.35,94.586058,222.95413146440652,FALSE,FALSE
